pwm left,pwm right,srf left,srf right
79.0,49.0,120,93
78.0,48.0,318,306
77.0,47.0,318,314
76.0,46.0,29,302
75.0,45.0,302,301
74.0,44.0,26,298
73.0,43.0,295,295
72.0,42.0,27,291
71.0,41.0,288,287
70.0,40.0,30,240
69.0,39.0,29,227
68.0,38.0,24,230
67.0,37.0,277,275
66.0,36.0,273,272
65.0,35.0,269,269
64.0,34.0,265,266
63.0,33.0,262,264
62.0,32.0,258,268
61.0,31.0,257,270
60.0,30.0,253,262
59.0,29.0,250,258
58.0,28.0,247,251
57.0,27.0,243,247
56.0,26.0,247,246
55.0,25.0,239,253
54.0,24.0,236,250
53.0,23.0,241,249
52.0,22.0,229,286
51.0,21.0,225,295
50.0,20.0,222,238
49.0,21.0,220,232
48.0,22.0,15,15
47.0,23.0,221,231
46.0,24.0,216,232
45.0,25.0,212,229
44.0,26.0,209,267
43.0,27.0,207,261
42.0,28.0,205,260
41.0,29.0,203,256
40.0,30.0,200,254
39.0,31.0,197,250
38.0,32.0,194,206
37.0,33.0,62,208
36.0,34.0,190,246
35.0,35.0,57,243
34.0,36.0,185,251
33.0,37.0,182,237
32.0,38.0,180,242
31.0,39.0,178,240
30.0,40.0,182,235
29.0,41.0,176,227
28.0,42.0,171,223
27.0,43.0,168,221
26.0,44.0,165,222
25.0,45.0,163,228
24.0,46.0,161,224
23.0,47.0,158,222
22.0,48.0,156,220
21.0,49.0,154,218
20.0,50.0,152,216
20.0,51.0,152,227
20.0,52.0,150,225
20.0,53.0,146,209
20.0,54.0,144,193
20.0,55.0,144,200
20.0,56.0,143,175
20.0,57.0,142,21
20.0,58.0,139,16
20.0,59.0,137,16
20.0,60.0,136,167
20.0,61.0,134,138
20.0,62.0,132,170
20.0,63.0,130,17
20.0,64.0,128,17
20.0,65.0,126,17
20.0,66.0,123,173
20.0,67.0,121,17
20.0,68.0,140,119
20.0,69.0,137,118
20.0,70.0,136,124
20.0,71.0,160,110
20.0,72.0,131,105
20.0,73.0,156,103
20.0,74.0,26,100
20.0,75.0,128,98
20.0,76.0,148,95
20.0,77.0,148,92
20.0,78.0,148,91
20.0,79.0,146,88
