pwm left,pwm right,srf left,srf right
20.0,63.0,128.0,17.0
20.0,64.0,126.0,17.0
20.0,65.0,123.0,173.0
20.0,66.0,121.0,17.0
20.0,67.0,140.0,119.0
20.0,68.0,137.0,118.0
20.0,69.0,136.0,124.0
20.0,70.0,160.0,110.0
20.0,71.0,131.0,105.0
20.0,72.0,156.0,103.0
20.0,73.0,26.0,100.0
20.0,74.0,128.0,98.0
20.0,75.0,148.0,95.0
20.0,76.0,148.0,92.0
20.0,77.0,148.0,91.0
20.0,78.0,146.0,88.0
20.0,79.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,93.0,120.0
49.0,79.0,306.0,318.0
48.0,78.0,314.0,318.0
47.0,77.0,302.0,29.0
46.0,76.0,301.0,302.0
45.0,75.0,298.0,26.0
44.0,74.0,295.0,295.0
43.0,73.0,291.0,27.0
42.0,72.0,287.0,288.0
41.0,71.0,240.0,30.0
40.0,70.0,227.0,29.0
39.0,69.0,230.0,24.0
38.0,68.0,275.0,277.0
37.0,67.0,272.0,273.0
36.0,66.0,269.0,269.0
35.0,65.0,266.0,265.0
34.0,64.0,264.0,262.0
33.0,63.0,268.0,258.0
32.0,62.0,270.0,257.0
31.0,61.0,262.0,253.0
30.0,60.0,258.0,250.0
29.0,59.0,251.0,247.0
28.0,58.0,247.0,243.0
27.0,57.0,246.0,247.0
26.0,56.0,253.0,239.0
25.0,55.0,250.0,236.0
24.0,54.0,249.0,241.0
23.0,53.0,286.0,229.0
22.0,52.0,295.0,225.0
21.0,51.0,238.0,222.0
20.0,50.0,232.0,220.0
21.0,49.0,15.0,15.0
22.0,48.0,231.0,221.0
23.0,47.0,232.0,216.0
24.0,46.0,229.0,212.0
25.0,45.0,267.0,209.0
26.0,44.0,261.0,207.0
27.0,43.0,260.0,205.0
28.0,42.0,256.0,203.0
29.0,41.0,254.0,200.0
30.0,40.0,250.0,197.0
31.0,39.0,206.0,194.0
32.0,38.0,208.0,62.0
33.0,37.0,246.0,190.0
34.0,36.0,243.0,57.0
35.0,35.0,251.0,185.0
36.0,34.0,237.0,182.0
37.0,33.0,242.0,180.0
38.0,32.0,240.0,178.0
39.0,31.0,235.0,182.0
40.0,30.0,227.0,176.0
41.0,29.0,223.0,171.0
42.0,28.0,221.0,168.0
